"phase_id","region","country","location","sampleType","startDate","endDate","midpointDate","testTime","testName","citationID","nSeropositives","nSamples","sensitivityMean","sensitivityL","sensitivityH","includedTable","notes","timeKnown","antigenTarget","antibodyTarget","technique","design"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Vitros Ortho (not total) IgG anti-spike","n-132",139,165,84.3,78.5,89.8,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"1","South Asia","Maldives","greater Maleâ€™ area","representative","10/15/2020","11/16/2020","10/31/2020",4,"Vitros Ortho (not total) IgG anti-spike","n-151",77,133,57.89,49.03,66.4,"Yes","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Vitros Ortho (not total) IgG anti-spike","n-132",111,147,75.1,67.8,82,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Vitros Ortho (not total) IgG anti-spike","n-132",72,113,63.5,54.4,72.4,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","*April 2020","*July 2020","--",1,"Vitros Ortho total Ig anti-spike","n-132",86,126,68.5,60,76.5,"Not yet","supplementary table 8",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Vitros Ortho total Ig anti-spike","n-132",132,157,83.9,77.5,89.2,"Not yet","supplementary table 8",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Vitros Ortho total Ig anti-spike","n-132",139,149,93.4,88.6,96.7,"Not yet","supplementary table 8",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Vitros Ortho total Ig anti-spike","n-132",158,162,97.8,94.7,99.3,"Not yet","supplementary table 8",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Vitros Ortho total Ig anti-spike","n-290",33,39,84.62,69.47,94.14,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Vitros Ortho total Ig anti-spike","n-290",180,194,92.78,88.19,96,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Vitros Ortho total Ig anti-spike","n-290",118,123,95.93,90.77,98.67,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Vitros Ortho total Ig anti-spike","n-290",158,162,97.53,93.8,99.32,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Vitros Ortho total Ig anti-spike","n-290",90,95,94.74,88.14,98.27,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Vitros Ortho total Ig anti-spike","n-290",86,89,96.63,90.46,99.3,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Vitros Ortho total Ig anti-spike","n-290",88,91,96.7,90.67,99.31,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Vitros Ortho total Ig anti-spike","n-290",35,35,100,90,100,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"1","Europe","Italy","Caldari Ortona (Villa Caldari)","representative","4/18/2020","4/19/2020","4/18/2020",1,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-107",7,7,100,59.04,100,"Yes","",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"1 - 4","Europe","Denmark","National (SSI) + 30 municipalities subset","representative","5/18/2020","12/16/2020","9/1/2020",2,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-22",217,232,93.53,89.56,96.34,"Yes","page 719",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"1","Europe","Iceland","{ National }","convenience (general population)","4/3/2020","7/8/2020","5/21/2020",3,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-157",1143,1215,94.07,92.6,95.33,"Yes","tables S1 and S4, page 8 of appendix 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"5","Europe","Denmark","National (SSI), unvaccinated population","representative","2/27/2021","4/20/2021","*3/17/2021",4,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-194",484,514,94.16,91.77,96.03,"Yes","page 4",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"6","Europe","Denmark","National (SSI), unvaccinated population","representative","5/14/2021","7/11/2021","*6/10/2021",5,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-195",282,310,90.97,87.21,93.91,"Yes","page 4",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",36,39,92.31,79.13,98.38,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",190,194,97.94,94.81,99.44,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",123,123,100,97.05,100,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",160,162,98.77,95.61,99.85,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",95,95,100,96.19,100,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",88,89,98.88,93.9,99.97,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",91,91,100,96.03,100,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",35,35,100,90,100,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"1","Europe","Austria","Ischgl","representative","4/21/2020","4/27/2020","2020-04-24",1,"Abbott Architect IgG","n-109",99,105,94.29,87.98,97.87,NA,"table 2",FALSE,"N","IgG","CMIA","indirect"
"1","Europe","Spain","National","representative","4/27/2020","5/11/2020","2020-05-04",1,"Abbott Architect IgG","n-44",176,195,90.26,85.2,94.03,NA,"table 3",FALSE,"N","IgG","CMIA","indirect"
"1","North America","USA","Davis, Salt Lake, Summit, and Utah counties","representative","5/1/2020","6/30/2020","2020-05-31",1,"Abbott Architect IgG","n-10",25,30,83.33,65.28,94.36,NA,"",FALSE,"N","IgG","CMIA","indirect"
"1","Africa","Ethiopia","14 towns (including Addis Ababa #2)","representative","6/24/2020","7/8/2020","2020-07-01",1,"Abbott Architect IgG","n-98",30,55,54.55,40.55,68.03,NA,"",FALSE,"N","IgG","CMIA","indirect"
"2","South Asia","India","National","representative","8/17/2020","9/22/2020","2020-09-04",1,"Abbott Architect IgG","n-85",38,44,86.36,72.65,94.83,NA,"table 2 (excluded 3 samples for taken within 14 days)",FALSE,"N","IgG","CMIA","indirect"
"1","South Asia","India","Kashmir: Srinagar district","representative","10/17/2020","10/20/2020","2020-10-18",1,"Abbott Architect IgG","n-92",100,121,82.64,74.7,88.92,NA,"table 1 (1 - 4 month time interval stated on page 1795)",FALSE,"N","IgG","CMIA","indirect"
"1","South Asia","India","Kashmir (whole region)","representative","10/17/2020","11/4/2020","2020-10-26",2,"Abbott Architect IgG","n-91",140,172,81.4,74.76,86.91,NA,"176 individuals (with 4 seronegatives removed for testing earlier than 14 days)",FALSE,"N","IgG","CMIA","indirect"
"4","South Asia","India","National","representative","6/14/2021","7/6/2021","2021-06-25",2,"Abbott Architect IgG","n-97",464,782,59.34,55.8,62.8,NA,"S1 table",FALSE,"N","IgG","CMIA","indirect"
"1","Europe","Lithuania","6 cities and municipalities","representative","8/10/2020","9/10/2020","2020-08-25",4,"AMP Rapid Test SARS-CoV-2 IgG/IgM","n-172",6,12,50,21.09,78.91,NA,"",FALSE,NA,"IgG IgM","LFIA","indirect"
"--","North America","USA","{ Arkansas }","non-hospitalized patients","8/15/2020","9/5/2020","2020-08-25",1,"Beckman ACCESS SARS-CoV-2 anti-RBD","n-281",10,12,83.33,51.59,97.91,NA,"supplementary table 1 and table 1",FALSE,"RBD","IgG","CLIA","indirect"
"--","North America","USA","{ Arkansas }","non-hospitalized patients","9/12/2020","10/24/2020","2020-10-03",2,"Beckman ACCESS SARS-CoV-2 anti-RBD","n-281",14,17,82.35,56.57,96.2,NA,"supplementary table 1 and table 1",FALSE,"RBD","IgG","CLIA","indirect"
"--","North America","USA","{ Arkansas }","non-hospitalized patients","11/7/2020","12/19/2020","2020-11-28",2,"Beckman ACCESS SARS-CoV-2 anti-RBD","n-281",4,8,50,15.7,84.3,NA,"supplementary table 1 and table 1",FALSE,"RBD","IgG","CLIA","indirect"
"1","North America","USA","National (COVIDVu)","representative","--","--","2020-10-30",3,"BioRad Platelia Total Antibody nucleocapsid","n-143",77,127,60.63,51.57,69.18,NA,"",FALSE,"N","IgG IgM IgA","ELISA","sandwich"
"2","North America","Canada","National (CCAHS), unvaccinated population","representative","11/2/2020","4/30/2021","2021-01-30",2,"CCAHS ELISA anti-spike anti-RBD anti-nucleocapsid (positive on at least 2 out of 3)","n-261",115,145,79.31,71.8,85.58,NA,"table 1",FALSE,"N, RBD, S","IgG","CMIA","indirect"
"1","Latin America","Argentina","Puerto Madryn","representative","03/03/2021","4/17/2021","2021-03-25",5,"COVIDAR anti-spike anti-RBD","n-248",57,78,73.08,61.84,82.5,NA,"positive on nasal swab (supplemental S2 data)",FALSE,"RBD, S","IgG IgM","ELISA","indirect"
"1","South Asia","India","Puducherry: Puducherry district","representative","8/11/2020","8/16/2020","2020-08-13",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-87",3,3,100,29.24,100,NA,"",FALSE,"N","IgG IgM IgA","CMIA","sandwich"
"2","South Asia","India","Puducherry: Puducherry district","representative","9/10/2020","9/16/2020","2020-09-13",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-87",3,7,42.86,9.899,81.59,NA,"",FALSE,"N","IgG IgM IgA","CMIA","sandwich"
"3","South Asia","India","Puducherry: Puducherry district","representative","10/12/2020","10/16/2020","2020-10-14",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-87",25,29,86.21,68.34,96.11,NA,"",FALSE,"N","IgG IgM IgA","CMIA","sandwich"
"1","Oceania","Indonesia","Tanjung Priok sub-district","convenience (general population)","11/23/2020","2/19/2021","2021-01-06",2,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-152",27,32,84.38,67.21,94.72,NA,"table 2 (excluded 17 samples for taken within 14 days)",FALSE,"N","IgG IgM IgA","CMIA","sandwich"
"1","South Asia","India","Hyderabad","representative","1/8/2021","1/24/2021","2021-01-16",4,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-101",260,298,87.25,82.92,90.82,NA,"table 2",FALSE,"N","IgG IgM IgA","CMIA","sandwich"
"2.3","East Asia","Japan","Miyagi + Osaka + Tokyo (phase 3), Aichi + Fukuoka (phase 2)","representative","12/3/2021","12/27/2021","2021-12-15",5,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-280",105,132,79.55,71.65,86.07,NA,"table 4 on page 6",FALSE,"N","IgG IgM IgA","CMIA","sandwich"
"3.4","East Asia","Japan","Miyagi + Osaka + Tokyo (phase 4), Aichi + Fukuoka (phase 3)","representative","2/2/2022","3/6/2022","2022-02-18",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-280",178,230,77.39,71.43,82.63,NA,"table 4 on page 6",FALSE,"N","IgG IgM IgA","CMIA","sandwich"
"3","South Asia","India","Delhi","representative","9/1/2020","9/7/2020","2020-09-04",2,"ERBALISA COVID-19 IgG","n-83",148,226,65.49,58.9,71.67,NA,"",FALSE,"N, S","IgG","ELISA","indirect"
"4","South Asia","India","Delhi","representative","10/15/2020","10/21/2020","2020-10-18",2,"ERBALISA COVID-19 IgG","n-83",147,260,56.54,50.28,62.65,NA,"",FALSE,"N, S","IgG","ELISA","indirect"
"1","Europe","Austria","Ischgl","representative","4/21/2020","4/27/2020","2020-04-24",1,"Euroimmun anti-spike","n-109",98,105,93.33,86.75,97.28,NA,"table 2",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","France","National","representative","--","--","2020-05-21",3,"Euroimmun anti-spike","n-149",74,83,89.16,80.41,94.92,NA,"table 2",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","France","Grand Est, ÃŽle-de-France, Nouvelle-Aquitaine","representative","5/4/2020","6/23/2020","2020-05-29",1,"Euroimmun anti-spike","n-31",68,78,87.18,77.68,93.68,NA,"table 2",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Kupferzell","representative","5/20/2020","6/9/2020","2020-05-30",2,"Euroimmun anti-spike","n-110 , n-295",43,50,86,73.26,94.18,NA,"table 3",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Bad Feilnbach","representative","6/23/2020","7/4/2020","2020-06-28",3,"Euroimmun anti-spike","n-295",22,42,52.38,36.42,68,NA,"n-295 (tabelle 3 on page 25)",FALSE,"S","IgG IgA","ELISA","indirect"
"1","South Asia","India","Pune (five prabhags/subwards)","representative","7/20/2020","8/5/2020","2020-07-28",1,"Euroimmun anti-spike","n-84",19,21,90.48,69.62,98.83,NA,"tables 1 and 2",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Reutlingen district","representative","7/1/2020","7/28/2020","2020-07-14",3,"Euroimmun anti-spike","n-26",10,11,90.91,58.72,99.77,NA,"page 20",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Freiburg + Breisgau-Hochschwarzwald","representative","8/5/2020","9/1/2020","2020-08-18",5,"Euroimmun anti-spike","n-26",12,16,75,47.62,92.73,NA,"page 20",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Straubing","representative","9/8/2020","9/26/2020","2020-09-17",5,"Euroimmun anti-spike","n-295 , n-234",17,32,53.12,34.74,70.91,NA,"n-295 (tabelle 3 on page 25)",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Aachen","representative","9/9/2020","10/9/2020","2020-09-24",6,"Euroimmun anti-spike","n-26",9,14,64.29,35.14,87.24,NA,"page 20",FALSE,"S","IgG IgA","ELISA","indirect"
"2","Europe","Germany","Reutlingen district","representative","10/14/2020","11/10/2020","2020-10-27",6,"Euroimmun anti-spike","n-26 , n-173",17,21,80.95,58.09,94.55,NA,"n-26 (page 20), n-173 (eSupplement-Table 3)",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","OsnabrÃ¼ck district + OsnabrÃ¼ck city","representative","10/15/2020","11/15/2020","2020-10-30",3,"Euroimmun anti-spike","n-26",11,17,64.71,38.33,85.79,NA,"page 20",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Mitte (in Berlin)","representative","11/17/2020","12/5/2020","2020-11-26",1,"Euroimmun anti-spike","n-295 , n-236",21,35,60,42.11,76.13,NA,"n-295 (tabelle 3 on page 25)",FALSE,"S","IgG IgA","ELISA","indirect"
"2","Europe","Germany","Freiburg + Breisgau-Hochschwarzwald","representative","11/18/2020","12/15/2020","2020-12-01",2,"Euroimmun anti-spike","n-26 , n-173",10,11,90.91,58.72,99.77,NA,"n-26 (page 20), n-173 (eSupplement-Table 3)",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Magdeburg","representative","11/18/2020","12/15/2020","2020-12-01",1,"Euroimmun anti-spike","n-26",26,28,92.86,76.5,99.12,NA,"page 20",FALSE,"S","IgG IgA","ELISA","indirect"
"2","Europe","Germany","Aachen region, unvaccinated population","representative","1/25/2021","2/27/2021","2021-02-10",3,"Euroimmun anti-spike","n-26 , n-173",61,70,87.14,76.99,93.95,NA,"n-26 (page 20), n-173 (eSupplement-Table 3)",FALSE,"S","IgG IgA","ELISA","indirect"
"2","Europe","Germany","OsnabrÃ¼ck district + OsnabrÃ¼ck city, unvaccinated population","representative","3/1/2021","3/31/2021","2021-03-16",3,"Euroimmun anti-spike","n-26 , n-173",34,37,91.89,78.09,98.3,NA,"n-26 (page 20), n-173 (eSupplement-Table 3)",FALSE,"S","IgG IgA","ELISA","indirect"
"2","Europe","Germany","Magdeburg, unvaccinated population","representative","4/7/2021","5/5/2021","2021-04-21",3,"Euroimmun anti-spike","n-26 , n-173",33,40,82.5,67.22,92.66,NA,"n-26 (page 20), n-173 (eSupplement-Table 3)",FALSE,"S","IgG IgA","ELISA","indirect"
"1.2","Europe","Germany","Chemnitz, unvaccinated population","representative","3/3/2021","8/17/2021","2021-05-25",5,"Euroimmun anti-spike","n-173",220,257,85.6,80.71,89.66,NA,"eSupplement-Table 3",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","Vorpommern-Greifswald, unvaccinated population","representative","5/12/2021","6/8/2021","2021-05-25",3,"Euroimmun anti-spike","n-173",70,86,81.4,71.55,88.98,NA,"eSupplement-Table 3",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","England","National (REACT-2)","representative","6/20/2020","7/13/2020","2020-07-01",2,"Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)","n-14",277,341,81.23,76.68,85.24,NA,"supplemental table 3",FALSE,"S","IgG IgM","LFIA","indirect"
"2","Europe","England","National (REACT-2)","representative","7/31/2020","8/13/2020","2020-08-06",3,"Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)","n-102",274,360,76.11,71.36,80.42,NA,"supplemental table S3 in file 7",FALSE,"S","IgG IgM","LFIA","indirect"
"3","Europe","England","National (REACT-2)","representative","9/15/2020","9/28/2020","2020-09-21",4,"Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)","n-102",474,750,63.2,59.64,66.66,NA,"supplemental table S3 in file 7",FALSE,"S","IgG IgM","LFIA","indirect"
"4","Europe","England","National (REACT-2)","representative","10/27/2020","11/10/2020","2020-11-03",1,"Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)","n-15",1094,1765,61.98,59.67,64.25,NA,"table S2",FALSE,"S","IgG IgM","LFIA","indirect"
"1","Europe","Spain","Cantabria","representative","4/27/2020","5/29/2020","2020-05-13",1,"Hangzhou Clongene IgM/IgG rapid test","n-46",2,3,66.67,9.43,99.16,NA,"table 1, used only IgG",FALSE,NA,"IgG","LFIA","indirect"
"1","Africa","South Africa","Gauteng","representative","11/4/2020","1/22/2021","2020-12-13",5,"in-house Luminex S protein trimer IgG","n-99",57,122,46.72,37.64,55.97,NA,"",FALSE,"RBD","IgG","CMIA",NA
"1","Africa","Tunisia","El Omrane + La Goulette","representative","*March 2021","*April 2021","2021-04-01",3,"in-house ELISA for N protein and S protein from IPT (Institut Pasteur in Tunis)","n-196",56,73,76.71,65.35,85.81,NA,"table 3",FALSE,"N, RBD","IgG","ELISA",NA
"2","South Asia","India","Delhi","representative","8/1/2020","8/7/2020","2020-08-04",1,"Kavach-AntiSARS-CoV-2 IgG ELISA (Zydus)","n-83",232,356,65.17,59.97,70.11,NA,"",FALSE,"N, RBD, S","IgG","ELISA","indirect"
"1","Europe","Andorra","National","representative","5/4/2020","5/13/2020","2020-05-08",1,"Livzon COVID-19 IgG IgM lateral flow","n-43",305,378,80.69,76.34,84.55,NA,"",FALSE,NA,"IgG IgM","LFIA","indirect"
"2","Europe","USA","Los Angeles County, unvaccinated population","representative","4/9/2021","4/25/2021","2021-04-17",4,"Luminex xMAP for spike and nucleocaspid (Los Angeles study used RBD portion)","n-174",57,59,97,90.3,99.1,NA,"table 2",FALSE,"RBD","IgG","CMIA","indirect"
"1","Europe","USA","Holyoke","representative","11/5/2020","12/31/2020","2020-12-03",2,"Massachusetts General Hospital, anti-spike ELISA","n-78",12,18,66.67,40.99,86.66,NA,"figure 2C",FALSE,"RBD","IgG","ELISA","indirect"
"1","Europe","USA","Hillsborough County, unvaccinated population","representative","*October 2020","*March 2021","2021-01-01",4,"New York, Mount Sinai RBD ELISA","n-178",122,126,96.83,92.07,99.13,NA,"appendix table",FALSE,"RBD, S","IgG","ELISA","indirect"
"1","Europe","Spain","National","representative","4/27/2020","5/11/2020","2020-05-04",1,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike","n-44",189,213,88.73,83.7,92.65,NA,"table 2",FALSE,"S","IgG IgM","LFIA","indirect"
"2","Europe","Spain","National","representative","5/18/2020","6/1/2020","2020-05-25",2,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike","n-104",276,360,76.67,71.95,80.94,NA,"tabla 6 (page 19)",FALSE,"S","IgG IgM","LFIA","indirect"
"3","Europe","Spain","National","representative","6/8/2020","6/22/2020","2020-06-15",2,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike","n-104",341,460,74.13,69.87,78.07,NA,"tabla 6 (page 19)",FALSE,"S","IgG IgM","LFIA","indirect"
"4","Europe","Spain","National","representative","11/16/2020","11/29/2020","2020-11-22",2,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike","n-45",1137,1777,63.98,61.7,66.22,NA,"tabla 8 (page 20)",FALSE,"S","IgG IgM","LFIA","indirect"
"1","Europe","Switzerland","11 cantons","representative","*October 2020","*February 2021","2020-12-20",1,"SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)","n-299",128,143,89.51,83.29,94.01,NA,"table 1 (not yet in seroreversion paper nor in PRISMA list / tab)",FALSE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Portugal","National (Castro et al.)","convenience (general population)","9/8/2020","10/14/2020","2020-09-26",3,"Siemens SARS-CoV-2 Total Advia Centaur","n-155",112,136,82.35,74.89,88.35,NA,"appendix 11",FALSE,"RBD","IgG IgM","CMIA","sandwich"
"1","Latin America","Peru","Lima Metropolitana (provinces of Lima + Callao)","representative","6/28/2020","7/9/2020","2020-07-03",1,"Standard Q COVID-19 IgM/IgG Plus","k-15",77,84,91.67,83.58,96.58,NA,"table S9",FALSE,"N, RBD","IgG IgM","LFIA","indirect"
"1","Middle East","Lebanon","National","representative","12/7/2020","1/15/2021","2020-12-26",2,"Techno Genetics anti-RBD, nCOVID-19 IgG/IgM POCT (point-of-care test)","n-150",38,60,63.33,49.9,75.41,NA,"table 3",FALSE,"RBD","IgG IgM","LFIA","indirect"
"1","North America","USA","Connecticut","representative","6/10/2020","7/29/2020","2020-07-04",2,"Vitros Ortho (not total) IgG anti-spike","n-2",11,11,100,71.51,100,NA,"table 3",FALSE,"S","IgG","CMIA","indirect"
"5","South Asia","India","Delhi, unvaccinated population","representative","1/11/2021","1/22/2021","2021-01-16",3,"Vitros Ortho (not total) IgG anti-spike","n-86",817,1121,72.88,70.18,75.47,NA,"table 2",FALSE,"S","IgG","CMIA","indirect"
"6","South Asia","India","Delhi, unvaccinated population","representative","9/24/2021","10/14/2021","2021-10-04",6,"Vitros Ortho (not total) IgG anti-spike","n-153",1739,2143,81.15,79.43,82.78,NA,"table 4",FALSE,"S","IgG","CMIA","indirect"
