phase_id,global region,country / entity,location,reference # in supplement,reference by author name,type of sample drawn from,serology sampling start date,serology sampling end,serology sampling midpoint,months between prior diagnosis (or symptoms) and serology,test name,infection variant known,re-infections known not to occur,severity of infection,median age,sex ratio,notes
--,Europe,Germany,{ Saarland },2,Lohse,non-hospitalized patients,--,*October 2020,*October 2020,6,Abbott Architect,--,--,0% hospitalized,--,--,
--,Europe,Germany,{ Saarland },2,Lohse,non-hospitalized patients,--,*October 2020,*October 2020,6,Elecsys anti-N,--,--,0% hospitalized,--,--,
--,Europe,Germany,{ Saarland },2,Lohse,non-hospitalized patients,--,*October 2020,*October 2020,6,Euroimmun anti-S,--,--,0% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,Abingdon AbC-19,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,Abingdon AbC-19,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,Abingdon AbC-19,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,Biomerica rapid test ,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,Biomerica rapid test ,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,Biomerica rapid test ,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,Biomerica rapid test ,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,Biozek rapid test,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,Biozek rapid test,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,LumiraDx,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,LumiraDx,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,LumiraDx,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,LumiraDx,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,Roche rapid test,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,Roche rapid test,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,Roche rapid test,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,Roche rapid test,--,--,2.6% hospitalized,--,--,
--,Latin America,Brazil,{ Pelotas },3,Silveira,hospitalized + non-hospitalized patients,--,--,*November 2020,1,University of Rio de Janeiro,--,--,--,30 - 50,"58% female , 42% male",table 2
--,Latin America,Brazil,{ Pelotas },3,Silveira,hospitalized + non-hospitalized patients,--,--,*November 2020,2,University of Rio de Janeiro,--,--,--,30 - 50,"58% female , 42% male",table 2
--,Latin America,Brazil,{ Pelotas },3,Silveira,hospitalized + non-hospitalized patients,--,--,*November 2020,3,University of Rio de Janeiro,--,--,--,30 - 50,"58% female , 42% male",table 2
--,Latin America,Brazil,{ Pelotas },3,Silveira,hospitalized + non-hospitalized patients,--,--,*November 2020,4,University of Rio de Janeiro,--,--,--,30 - 50,"58% female , 42% male",table 2
--,Latin America,Brazil,{ Pelotas },3,Silveira,hospitalized + non-hospitalized patients,--,--,*November 2020,5,University of Rio de Janeiro,--,--,--,30 - 50,"58% female , 42% male",table 2
--,Europe,Ireland,{ Dublin },6,Mallon,hospitalized + non-hospitalized patients,3/26/2020,7/10/2020,5/18/2020,1,Abbott Alinity,--,--,72% hospitalized,57,"46% female , 54% male",table 1
--,Europe,Ireland,{ Dublin },6,Mallon,hospitalized + non-hospitalized patients,3/26/2020,7/10/2020,5/18/2020,1,Abbott Architect,--,--,72% hospitalized,57,"46% female , 54% male",table 1
--,Europe,Ireland,{ Dublin },6,Mallon,hospitalized + non-hospitalized patients,3/26/2020,7/10/2020,5/18/2020,1,Elecsys anti-N,--,--,72% hospitalized,57,"46% female , 54% male",table 1
--,Europe,Germany,{ Cologne },7,Eberhardt,hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,Abbott Alinity,--,--,4% severe,44,"55% female , 45% male",table 2
--,Europe,Germany,{ Cologne },7,Eberhardt,hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,Diasorin Liaison,--,--,4% severe,44,"55% female , 45% male",table 2
--,Europe,Germany,{ Cologne },7,Eberhardt,hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,Elecsys anti-N,--,--,4% severe,44,"55% female , 45% male",table 2
--,Europe,Germany,{ Cologne },7,Eberhardt,hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,Euroimmun anti-S,--,--,4% severe,44,"55% female , 45% male",table 2
--,Europe,Germany,{ Cologne },7,Eberhardt,hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,IDK (Immundiagnostik),--,--,4% severe,44,"55% female , 45% male",table 2
--,Oceania,New Zealand,{ Southern District Health Board region },8,McGregor,hospitalized + non-hospitalized patients,3/11/2020,4/5/2020,--,10,Abbott Alinity II Quant,--,--,--,52,"70% female , 30% male",table 1
--,Oceania,New Zealand,{ Southern District Health Board region },8,McGregor,hospitalized + non-hospitalized patients,3/11/2020,4/5/2020,--,10,Abbott Architect,--,--,--,52,"70% female , 30% male",table 1
--,Oceania,New Zealand,{ Southern District Health Board region },8,McGregor,hospitalized + non-hospitalized patients,3/11/2020,4/5/2020,--,10,GenScript cPass,--,--,--,52,"70% female , 30% male",table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,*April 2020,*July 2020,--,1,Abbott Architect,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,3,Abbott Architect,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,5,Abbott Architect,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,7,Abbott Architect,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,*April 2020,*July 2020,--,1,Diasorin Liaison,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,3,Diasorin Liaison,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,5,Diasorin Liaison,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,7,Diasorin Liaison,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,*April 2020,*July 2020,--,1,Elecsys anti-N,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,3,Elecsys anti-N,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,5,Elecsys anti-N,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,7,Elecsys anti-N,--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,*April 2020,*July 2020,--,1,Vitros Ortho (not total antibodies),--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,3,Vitros Ortho (not total antibodies),--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,5,Vitros Ortho (not total antibodies),--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,7,Vitros Ortho (not total antibodies),--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,*April 2020,*July 2020,--,1,Vitros Ortho (total antibodies),--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,3,Vitros Ortho (total antibodies),--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,5,Vitros Ortho (total antibodies),--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,North America,USA,{ San Francisco },9,Peluso,non-hospitalized patients,--,--,--,7,Vitros Ortho (total antibodies),--,--,0% hospitalized,30 - 45,"48% female , 52% male",supplementary table 1
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,Abbott Architect,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,Abbott Architect,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,Abbott Architect,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,Abbott Architect,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,Abbott Architect,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,Abbott Architect,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,Abbott Architect,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,Abbott Architect,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,Diasorin Liaison,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,Diasorin Liaison,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,Diasorin Liaison,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,Diasorin Liaison,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,Diasorin Liaison,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,Diasorin Liaison,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,Diasorin Liaison,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,Diasorin Liaison,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,Elecsys anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,Elecsys anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,Elecsys anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,Elecsys anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,Elecsys anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,Elecsys anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,Elecsys anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,Elecsys anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,Elecsys anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,Elecsys anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,Elecsys anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,Elecsys anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,Elecsys anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,Elecsys anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,Elecsys anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,Elecsys anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,Euroimmun anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,Euroimmun anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,Euroimmun anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,Euroimmun anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,Euroimmun anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,Euroimmun anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,Euroimmun anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,Euroimmun anti-N,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,Euroimmun anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,Euroimmun anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,Euroimmun anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,Euroimmun anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,Euroimmun anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,Euroimmun anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,Euroimmun anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,Euroimmun anti-S,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,GenScript cPass,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,GenScript cPass,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,GenScript cPass,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,GenScript cPass,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,GenScript cPass,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,GenScript cPass,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,GenScript cPass,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,GenScript cPass,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,Vitros Ortho (total antibodies),--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,Vitros Ortho (total antibodies),--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,Vitros Ortho (total antibodies),--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,Vitros Ortho (total antibodies),--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,Vitros Ortho (total antibodies),--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,Vitros Ortho (total antibodies),--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,Vitros Ortho (total antibodies),--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,Vitros Ortho (total antibodies),--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,1,Wantai,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,2,Wantai,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,4,Wantai,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,6,Wantai,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,8,Wantai,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,10,Wantai,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,12,Wantai,--,--,15.8% hospitalized,--,--,
--,Europe,Germany,--,10,Scheiblauer,hospitalized + non-hospitalized patients,--,--,*2020,14,Wantai,--,--,15.8% hospitalized,--,--,
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,1,Abbott Architect,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,1 - 3,Abbott Architect,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,4 - 5,Abbott Architect,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,5 - 7,Abbott Architect,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,1,Diasorin Liaison,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,1 - 3,Diasorin Liaison,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,4 - 5,Diasorin Liaison,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,5 - 7,Diasorin Liaison,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,1,Elecsys anti-N,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,1 - 3,Elecsys anti-N,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,4 - 5,Elecsys anti-N,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
--,Oceania,Australia,{ Victoria },11,Bond,hospitalized + non-hospitalized patients,--,--,--,5 - 7,Elecsys anti-N,--,--,~26% hospitalized,40 - 45,"~42% female , ~58% male",supplementary data #2
1,Europe,Austria,Ischgl,12,Knabl,representative,4/21/2020,4/27/2020,4/24/2020,--,Abbott Architect,--,--,< 9% hospitalized,30 - 50,~50%,supplementary figure 5B
